TF	Gene
USF1	S100A6
USF1	DUSP1
USF1	C4A
USF1	ABCA1
TP53	TP73
TP53	SIAH1
TP53	PMAIP1
TP53	EI24
TP53	CDKN1A
TP53	CCNG1
TP53	BAX
TFAP2A	VEGFA
TFAP2A	TNPO1
TFAP2A	JUP
STAT5A	BCL2L1
STAT3	SOCS3
STAT1	SOCS3
SRF	FOS
SP1	VEGFB
SP1	RARA
SP1	PSEN1
SP1	NFKB2
RELA	TP53
RELA	PTGS2
RELA	NFKB2
RELA	ICAM1
RELA	CXCL1
RELA	CCL5
PPARG	NR1H3
PPARG	LPL
PPARG	CPT1B
NFKB1	TRAF1
NFKB1	TP53
NFKB1	PTGS2
NFKB1	NOS2
NFKB1	LTA
NFKB1	ICAM1
NFKB1	CXCL1
NFKB1	CD40
NFKB1	CCL5
MYC	WT1
MYC	VDAC2
MYC	USO1
MYC	TXNDC5
MYC	TRIM25
MYC	TRIB1
MYC	TOP1
MYC	TGFB2
MYC	SRM
MYC	SMAD3
MYC	SLC4A2
MYC	SLC43A1
MYC	SLC39A8
MYC	SIM2
MYC	RPL22
MYC	RNMT
MYC	PTPRF
MYC	PTEN
MYC	PSME3
MYC	PPIA
MYC	POLR3G
MYC	NUP153
MYC	NTN3
MYC	NRAS
MYC	NR1D1
MYC	NPM1
MYC	NOL3
MYC	NME2
MYC	NIT1
MYC	NDUFS1
MYC	NCL
MYC	MTHFR
MYC	MSN
MYC	MAT2A
MYC	LMNA
MYC	KHSRP
MYC	HSPE1
MYC	HSPD1
MYC	HSPA9
MYC	HNRPDL
MYC	HNRNPA1
MYC	HDAC3
MYC	GNL3
MYC	GCLC
MYC	GALC
MYC	EIF4H
MYC	EIF4B
MYC	DCAF11
MYC	CLN3
MYC	CLCN6
MYC	CDK4
MYC	CD63
MYC	CCT7
MYC	CCND1
MYC	CBX5
MYC	CASP9
MYC	CAD
MYC	CACNB1
MYC	BCKDHA
MYC	ATF4
MYC	AMPD2
MYC	AKAP1
MAX	CCND1
JUN	SLC3A2
JUN	MMP9
JUN	KRT16
JUN	CLU
FOS	ITGA5
ELK1	FOS
EGR1	SPINT1
E2F1	UNG
E2F1	RBL1
E2F1	RB1
E2F1	RAD51
E2F1	POLA2
E2F1	PCNA
E2F1	MCM5
E2F1	MCM3
E2F1	E2F3
E2F1	DUSP4
E2F1	CDC25A
